"ID","ClassName","Label","ActionType","Message","TaskID","GotoID","QuestionID","SortOrder","Result"
"221","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","208","0",""
"222","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","208","0",""
"223","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","209","0",""
"224","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","209","0",""
"225","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","210","0",""
"226","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","210","0",""
"227","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","211","0",""
"228","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","211","0",""
"229","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","212","0",""
"230","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","212","0",""
"231","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","213","0",""
"232","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","213","0",""
"233","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","213","0",""
"234","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","212","0",""
"235","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","211","0",""
"236","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","210","0",""
"237","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","209","0",""
"238","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","208","0",""
"239","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","207","0",""
"240","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","206","0",""
"241","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","205","0",""
"242","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","204","0",""
"243","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","188","0",""
"244","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","214","0",""
"245","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","214","0",""
"246","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","214","0",""
"247","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","215","0",""
"248","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","215","0",""
"249","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","215","0",""
"250","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","216","0",""
"251","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","216","0",""
"252","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","216","0",""
"253","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","217","0",""
"254","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","217","0",""
"255","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","217","0",""
"256","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","218","0",""
"257","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","218","0",""
"258","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","218","0",""
"259","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","219","0",""
"260","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","219","0",""
"261","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","219","0",""
"262","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","220","0",""
"263","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","220","0",""
"264","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","220","0",""
"265","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","221","0",""
"266","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","221","0",""
"267","NZTA\\SDLT\\Model\\AnswerActionField","Not Applicable","continue","","0","188","221","0",""
"268","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","222","0",""
"269","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","222","0",""
"270","NZTA\\SDLT\\Model\\AnswerActionField","I Don't Know","continue","","0","188","222","0",""
"271","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","223","0",""
"272","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","223","0",""
"273","NZTA\\SDLT\\Model\\AnswerActionField","I Don't Know","continue","","0","188","223","0",""
"274","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","224","0",""
"275","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","224","0",""
"276","NZTA\\SDLT\\Model\\AnswerActionField","I Don't Know","continue","","0","188","224","0",""
"277","NZTA\\SDLT\\Model\\AnswerActionField","Start","continue","","0","225","225","0",""
"278","NZTA\\SDLT\\Model\\AnswerActionField","Yes - Other(s)","continue","","0","226","226","2",""
"279","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","0","232","226","3",""
"280","NZTA\\SDLT\\Model\\AnswerActionField","Yes","goto","","0","226","229","0",""
"281","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","106","229","0",""
"282","NZTA\\SDLT\\Model\\AnswerActionField","Yes","goto","","0","226","230","0",""
"283","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","230","230","0",""
"284","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","231","231","0",""
"285","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","231","231","0",""
"286","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","233","233","0",""
"287","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","233","233","0",""
"288","NZTA\\SDLT\\Model\\AnswerActionField","Yes - Court Order","continue","","0","234","234","1",""
"289","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","234","234","4",""
"290","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","234","235","0",""
"291","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","234","235","0",""
"292","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","236","236","0",""
"293","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","236","236","0",""
"294","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","238","238","0",""
"295","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","238","238","0",""
"296","NZTA\\SDLT\\Model\\AnswerActionField","Negotiate Contracts","continue","","0","240","240","0",""
"297","NZTA\\SDLT\\Model\\AnswerActionField","Standard Terms of Service","continue","","0","240","240","0",""
"298","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","241","241","0",""
"299","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","241","241","0",""
"300","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","242","242","0",""
"301","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","242","242","0",""
"302","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","243","243","0",""
"303","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","243","243","0",""
"304","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","244","244","0",""
"305","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","244","244","0",""
"306","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","245","245","0",""
"307","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","245","245","0",""
"308","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","246","246","0",""
"309","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","246","246","0",""
"310","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","247","247","0",""
"311","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","247","247","0",""
"312","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","248","248","0",""
"313","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","248","248","0",""
"314","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","249","249","0",""
"315","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","249","249","0",""
"316","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","250","250","0",""
"317","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","250","250","0",""
"318","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","251","251","0",""
"319","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","251","251","0",""
"320","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","252","252","0",""
"321","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","252","252","0",""
"322","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","253","253","0",""
"323","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","253","253","0",""
"324","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","254","254","0",""
"325","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","254","254","0",""
"326","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","255","255","0",""
"327","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","255","255","0",""
"328","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","256","256","0",""
"329","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","256","256","0",""
"330","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","257","257","0",""
"331","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","257","257","0",""
"332","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","257","258","0",""
"333","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","257","258","0",""
"334","NZTA\\SDLT\\Model\\AnswerActionField","Controls have been implemented","continue","","0","128","128","0",""
"335","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","259","259","0",""
"336","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","259","259","0",""
"337","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","260","260","0",""
"338","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","260","260","0",""
"339","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","261","261","0",""
"340","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","261","261","0",""
"341","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","262","262","0",""
"342","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","262","262","0",""
"343","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","263","263","0",""
