"ID","ClassName","Likelihood","Impact","LikelihoodPenalty","ImpactPenalty","RiskID","SecurityControlID","SecurityComponentID"
212,"NZTA\SDLT\Model\ControlWeightSet",3,5,0,0,9,28,37
213,"NZTA\SDLT\Model\ControlWeightSet",6,6,0,0,9,70,37
214,"NZTA\SDLT\Model\ControlWeightSet",6,8,0,0,9,72,37
215,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,9,50,37
216,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,9,76,37
217,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,9,44,37
218,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,9,53,37
219,"NZTA\SDLT\Model\ControlWeightSet",3,7,0,0,9,54,37
220,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,9,58,37
221,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,9,43,37
222,"NZTA\SDLT\Model\ControlWeightSet",3,4,0,0,9,57,37
223,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,63,37
224,"NZTA\SDLT\Model\ControlWeightSet",5,5,0,0,9,61,37
225,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,9,47,37
226,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,62,38
227,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,62,38
228,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,62,38
229,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,6,62,38
230,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,9,62,38
231,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,45,38
232,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,45,38
233,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,4,45,38
234,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,45,38
235,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,45,38
236,"NZTA\SDLT\Model\ControlWeightSet",10,0,15,15,2,89,38
237,"NZTA\SDLT\Model\ControlWeightSet",10,0,15,15,4,89,38
238,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,85,38
239,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,75,38
240,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,75,38
241,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,8,75,38
242,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,6,75,38
243,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,9,75,38
244,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,8,82,38
245,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,82,38
246,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,82,38
247,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,77,38
248,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,3,77,38
249,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,77,38
250,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,8,77,38
251,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,6,77,38
